neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
De Pijp - Rivierenbuurt;5.234.174;490.396;Entire home/apt;220;3;62;1;0
Noord-West;5.240.793;490.264;Private room;80;2;262;130;25
De Pijp - Rivierenbuurt;5.235.428;490.005;Private room;117;3;221;251;33
De Pijp - Rivierenbuurt;5.233.917;489.633;Entire home/apt;299;4;25;2;4
De Baarsjes - Oud-West;5.236.262;486.174;Private room;114;1;289;0;0
Watergraafsmeer;5.235.317;493.806;Entire home/apt;200;5;22;249;0
De Pijp - Rivierenbuurt;5.234.007;491.193;Entire home/apt;175;3;11;0;0
De Pijp - Rivierenbuurt;5.235.345;489.037;Entire home/apt;543;3;42;3;2
Oud-Noord;5.238.772;493.933;Entire home/apt;180;3;99;75;5
Centrum-West;5.237.318;488.886;Entire home/apt;259;3;73;0;4
De Baarsjes - Oud-West;5.237.381;485.761;Entire home/apt;199;6;45;167;6
Geuzenveld - Slotermeer;5.237.346;483.449;Entire home/apt;400;5;53;2;5
Centrum-Oost;523.643;488.867;Entire home/apt;368;7;3;283;1
De Baarsjes - Oud-West;5.237.272;484.985;Entire home/apt;180;2;73;0;0
Bos en Lommer;5.238.278;485.254;Private room;74;4;272;32;7
De Pijp - Rivierenbuurt;5.234.336;490.479;Private room;125;2;456;12;45
Centrum-Oost;5.237.087;491.014;Private room;130;2;117;35;27
Bos en Lommer;52.384.147;48.491.909;Entire home/apt;375;2;3;218;3
Slotervaart;5.235.928;483.608;Private room;85;2;304;129;0
Slotervaart;5.235.896;481.951;Private room;101;2;261;277;46
Centrum-West;5.238.778;488.848;Private room;66;3;262;289;48
Centrum-Oost;5.236.416;489.859;Entire home/apt;372;5;101;0;0
Watergraafsmeer;5.234.825;493.682;Entire home/apt;150;2;14;1;0
De Baarsjes - Oud-West;5.236.679;486.016;Entire home/apt;400;4;27;59;1
Osdorp;5.236.709;479.332;Private room;110;2;847;319;58
Noord-West;5.240.294;490.568;Entire home/apt;200;3;24;0;2
Centrum-Oost;5.236.192;488.681;Entire home/apt;325;2;55;0;5
